Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-164.0807	0	-164.0807	5.40288	23.62172
1	1	-59.61065	0	-59.61065	12.72162	10.79277
2	0	-133.1027	0	-133.1027	7.432179	18.74163
3	1	-77.95737	0	-77.95737	9.736749	12.33952
4	0	-147.5318	0	-147.5318	5.890339	20.82061
5	1	-70.97955	0	-70.97955	10.65004	11.74549
6	0	-135.5608	0	-135.5608	7.841947	18.98922
7	1	-53.83472	0	-53.83472	11.99425	10.31519
8	0	-155.1218	0	-155.1218	6.598767	22.03754
9	1	-23.7963	0	-23.7963	16.73898	8.228265
10	0	-142.393	0	-142.393	7.043504	20.07635
11	1	-52.07053	0	-52.07053	14.19895	10.16257
12	0	-123.6504	0	-123.6504	7.186542	17.44243
13	1	-37.08689	0	-37.08689	14.56592	9.109309
14	0	-160.1196	0	-160.1196	5.207753	22.80012
15	1	-74.70859	0	-74.70859	12.93431	11.95234
16	0	-158.2562	0	-158.2562	6.388199	22.57584
17	1	-65.16174	0	-65.16174	9.755208	11.03034
18	0	-156.3356	0	-156.3356	5.986756	22.31873
19	1	-114.3908	0	-114.3908	9.382471	16.16285
20	0	-137.8399	0	-137.8399	6.399965	19.38273
21	1	-123.8374	0	-123.8374	7.909554	17.48954
22	0	-108.4576	0	-108.4576	9.053547	15.56985
23	1	-121.6532	0	-121.6532	8.597643	17.12956
24	0	-87.46128	0	-87.46128	9.057292	13.25133
25	1	-143.0349	0	-143.0349	8.065497	19.85451
26	0	-107.9093	0	-107.9093	9.088401	15.50612
27	1	-118.1598	0	-118.1598	7.76513	16.767
28	0	-155.4419	0	-155.4419	5.746885	22.14255
29	1	-89.77478	0	-89.77478	9.417471	13.54155
30	0	-190.2657	0	-190.2657	4.622517	28.75215
31	1	-58.95836	0	-58.95836	12.54422	10.74511
32	0	-200.5463	0	-200.5463	3.886745	30.85629
33	1	-47.55602	0	-47.55602	13.7961	9.856282
34	0	-217.2609	0	-217.2609	3.824502	35.16227
35	1	-49.49362	0	-49.49362	13.47109	10.00383
36	0	-223.6118	0	-223.6118	3.689956	36.86254
37	1	-82.5988	0	-82.5988	12.21863	12.68098
38	0	-222.285	0	-222.285	3.937487	36.42173
39	1	-91.30914	0	-91.30914	9.682123	13.71084
40	0	-227.172	0	-227.172	3.490427	37.8511
41	1	-129.8861	0	-129.8861	7.910121	18.25418
42	0	-228.3969	0	-228.3969	3.882073	38.02598
43	1	-128.8934	0	-128.8934	7.772199	18.1484
44	0	-226.1192	0	-226.1192	4.143399	37.18798
45	1	-119.4868	0	-119.4868	7.077346	16.83428
46	0	-200.6079	0	-200.6079	4.247556	31.05412
47	1	-132.224	0	-132.224	6.946511	18.6261
48	0	-205.8392	0	-205.8392	3.944896	32.2484
49	1	-135.9468	0	-135.9468	7.720127	19.06824
