Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-44.1809	0	-44.1809	13.11843	9.600158
1	1	-265.0974	0	-265.0974	2.637212	50.19385
2	0	-43.59983	0	-43.59983	14.99594	9.538596
3	1	-256.2157	0	-256.2157	2.618052	46.79417
4	0	-34.55909	0	-34.55909	16.02705	8.908098
5	1	-263.9825	0	-263.9825	2.725735	49.78338
6	0	-35.96882	0	-35.96882	15.58502	9.01462
7	1	-280.077	0	-280.077	2.544755	56.01798
8	0	0.9604357	0	0.9604357	21.03693	6.796108
9	1	-281.9998	0	-281.9998	2.43724	56.89579
10	0	40.03131	0	40.03131	24.07552	5.0468
11	1	-284.7635	0	-284.7635	2.278123	58.09597
12	0	2.642553	0	2.642553	20.67317	6.723938
13	1	-265.3567	0	-265.3567	2.463836	50.11916
14	0	-25.22583	0	-25.22583	13.60885	8.218229
15	1	-288.661	0	-288.661	2.328725	59.77645
16	0	3.562957	0	3.562957	20.2578	6.685213
17	1	-270.2511	0	-270.2511	2.602171	52.15905
18	0	-8.826662	0	-8.826662	17.10926	7.343557
19	1	-286.249	0	-286.249	2.550558	58.43051
20	0	-25.69958	0	-25.69958	16.38123	8.350475
21	1	-324.6262	0	-324.6262	1.797498	78.06378
22	0	-39.44239	0	-39.44239	14.58496	9.27075
23	1	-304.2557	0	-304.2557	1.885376	67.02913
24	0	-22.47778	0	-22.47778	17.62202	8.124941
25	1	-331.1092	0	-331.1092	1.813661	81.60715
26	0	-65.43066	0	-65.43066	13.4849	11.18548
27	1	-320.2786	0	-320.2786	1.765876	75.64639
28	0	-65.75608	0	-65.75608	14.37976	11.10279
29	1	-329.2596	0	-329.2596	1.815954	80.57928
30	0	-67.64699	0	-67.64699	11.92717	11.46889
31	1	-282.5716	0	-282.5716	2.405446	57.15122
32	0	-23.77524	0	-23.77524	16.59564	8.229834
33	1	-290.5412	0	-290.5412	2.486538	60.28605
34	0	-29.94228	0	-29.94228	15.71818	8.626216
35	1	-271.4789	0	-271.4789	2.619837	52.62327
36	0	2.375118	0	2.375118	18.68517	6.744427
37	1	-239.2727	0	-239.2727	3.015735	41.30926
38	0	-21.39847	0	-21.39847	18.35169	8.033587
39	1	-219.3893	0	-219.3893	3.936369	35.68677
40	0	-7.673187	0	-7.673187	19.3045	7.270185
41	1	-220.2312	0	-220.2312	3.797681	35.94396
42	0	4.06116	0	4.06116	20.90779	6.651256
43	1	-238.1394	0	-238.1394	2.962366	40.86082
44	0	-13.313	0	-13.313	17.06492	7.605528
45	1	-220.1407	0	-220.1407	3.770802	35.92331
46	0	-7.941064	0	-7.941064	19.17751	7.287159
47	1	-251.4856	0	-251.4856	2.996089	45.36322
48	0	-15.2439	0	-15.2439	16.64267	7.716348
49	1	-293.8562	0	-293.8562	1.841459	61.25717
50	0	1.893546	0	1.893546	19.4861	6.774484
51	1	-272.8339	0	-272.8339	2.145496	52.36514
52	0	-18.51314	0	-18.51314	14.93298	7.861668
53	1	-293.2168	0	-293.2168	2.34352	61.70663
54	0	-16.3635	0	-16.3635	19.21075	7.724797
55	1	-283.9597	0	-283.9597	2.270806	57.73857
56	0	-12.37161	0	-12.37161	18.42352	7.540147
57	1	-294.6914	0	-294.6914	2.225983	62.51727
58	0	-15.81755	0	-15.81755	17.37154	7.750324
59	1	-287.7017	0	-287.7017	2.249663	59.38509
60	0	-36.75983	0	-36.75983	15.01378	9.082134
61	1	-290.8865	0	-290.8865	2.176328	60.80049
62	0	-63.48647	0	-63.48647	11.09633	11.08921
63	1	-309.564	0	-309.564	1.7786	69.62453
64	0	-33.53072	0	-33.53072	14.73732	8.866898
65	1	-314.0358	0	-314.0358	1.559584	70.92262
66	0	-53.75001	0	-53.75001	10.88592	10.17559
67	1	-346.0911	0	-346.0911	1.491719	91.62084
68	0	-81.10936	0	-81.10936	10.02257	12.68612
69	1	-358.8108	0	-358.8108	1.208102	100.1408
70	0	-98.42789	0	-98.42789	9.418647	14.46034
71	1	-386.9983	0	-386.9983	1.044471	124.0366
72	0	-112.5295	0	-112.5295	8.859836	16.04468
73	1	-390.8579	0	-390.8579	0.8911	125.6916
74	0	-125.8821	0	-125.8821	7.274943	17.7617
75	1	-360.2788	0	-360.2788	1.337853	101.8008
76	0	-112.558	0	-112.558	8.211822	16.0814
77	1	-376.9272	0	-376.9272	1.271377	114.8171
78	0	-135.6054	0	-135.6054	6.833861	19.10825
79	1	-386.344	0	-386.344	1.086166	123.5303
80	0	-99.62164	0	-99.62164	9.189877	14.59398
81	1	-386.2125	0	-386.2125	0.9921634	122.8037
82	0	-110.7027	0	-110.7027	9.189622	15.79981
83	1	-424.0191	0	-424.0191	0.9498953	161.8904
84	0	-152.8223	0	-152.8223	5.9944	21.73265
85	1	-523.5201	0	-523.5201	0.3704168	340.8681
86	0	-125.5603	0	-125.5603	7.399754	17.72559
87	1	-535.0399	0	-535.0399	0.3502314	371.8182
88	0	-132.1129	0	-132.1129	7.907606	18.53622
89	1	-536.5138	0	-536.5138	0.3184234	373.2422
90	0	-140.0382	0	-140.0382	6.272537	19.69816
91	1	-520.7302	0	-520.7302	0.4156971	334.4588
92	0	-168.9965	0	-168.9965	5.895511	24.46312
93	1	-487.1502	0	-487.1502	0.5186298	260.8789
94	0	-159.1356	0	-159.1356	5.971519	22.78747
95	1	-466.5228	0	-466.5228	0.5933471	223.8602
96	0	-131.1209	0	-131.1209	6.745037	18.43581
97	1	-443.1134	0	-443.1134	0.7458622	188.0638
98	0	-121.8442	0	-121.8442	7.19704	17.19312
99	1	-410.608	0	-410.608	0.9207642	147.8867
100	0	-141.3849	0	-141.3849	6.617539	19.95657
101	1	-415.8842	0	-415.8842	0.7778476	152.6039
102	0	-112.1435	0	-112.1435	6.911439	15.71736
103	1	-419.0387	0	-419.0387	0.913584	157.1219
104	0	-105.6153	0	-105.6153	10.18155	15.10047
105	1	-397.4755	0	-397.4755	1.057731	133.9947
106	0	-35.70405	0	-35.70405	14.61462	9.0145
107	1	-401.929	0	-401.929	0.9924645	138.6434
108	0	-44.95184	0	-44.95184	11.94971	9.568993
109	1	-354.0584	0	-354.0584	1.33226	97.13542
110	0	-61.84051	0	-61.84051	12.81544	10.9637
111	1	-321.7562	0	-321.7562	1.801267	76.46367
112	0	-95.47701	0	-95.47701	8.571905	14.08067
113	1	-319.8013	0	-319.8013	1.863717	75.31468
114	0	-68.02977	0	-68.02977	10.10296	11.39571
115	1	-326.9315	0	-326.9315	1.560348	79.1948
116	0	-52.56319	0	-52.56319	12.78611	10.23954
117	1	-330.21	0	-330.21	1.838815	81.01028
118	0	-74.8954	0	-74.8954	11.2329	12.11464
119	1	-290.926	0	-290.926	2.253536	60.81651
120	0	-79.20913	0	-79.20913	10.29408	12.51219
121	1	-288.5513	0	-288.5513	2.591102	59.22332
122	0	-66.03976	0	-66.03976	10.69391	11.28646
123	1	-255.0747	0	-255.0747	2.592156	46.30578
124	0	-33.6538	0	-33.6538	16.26793	8.841382
125	1	-270.5556	0	-270.5556	3.003789	51.71045
126	0	-66.72541	0	-66.72541	13.27774	11.30322
127	1	-269.4305	0	-269.4305	2.923092	51.50091
128	0	-65.82823	0	-65.82823	13.07695	11.25393
129	1	-233.2543	0	-233.2543	3.303281	39.59599
130	0	-81.49297	0	-81.49297	10.19119	12.73156
131	1	-210.3614	0	-210.3614	4.501971	33.19877
132	0	-115.9153	0	-115.9153	7.600817	16.45862
133	1	-220.2334	0	-220.2334	4.314638	35.60707
134	0	-129.5973	0	-129.5973	7.876233	18.22332
135	1	-244.7778	0	-244.7778	3.248658	43.11938
136	0	-171.3345	0	-171.3345	5.790157	24.89524
137	1	-276.4642	0	-276.4642	2.191902	54.22646
